circuit_id,n_races,mean_position_delta,position_delta_sd
,184,1.1555340432397547,3.818638356752809
albert_park,7,2.0925925925925926,3.8617954528705987
americas,7,1.6521739130434783,3.9137585385403466
bahrain,9,1.4285714285714286,3.6236757605485357
baku,7,1.7027027027027026,3.5992869368658975
catalunya,9,0.8364779874213837,3.4301025519777886
hockenheimring,2,2.892857142857143,4.690374582751065
hungaroring,9,0.8152866242038217,3.848121000412587
imola,5,1.188235294117647,3.986492179599901
interlagos,7,1.4690265486725664,4.199889324492582
istanbul,2,0.34285714285714286,4.399537428661612
jeddah,5,1.0,3.542634430630849
losail,4,1.1818181818181819,3.854273323744123
marina_bay,6,0.803921568627451,3.726517237633713
miami,5,0.8620689655172413,3.70762628017882
monaco,8,1.1014492753623188,3.3411079307891245
monza,8,1.2985074626865671,3.9920037831730535
mugello,1,2.6666666666666665,3.818638356752809
nurburgring,1,3.466666666666667,3.818638356752809
portimao,2,0.34210526315789475,3.6395378485921444
red_bull_ring,11,1.1189189189189188,3.7635922422152945
ricard,4,0.5942028985507246,3.6854311190870086
rodriguez,7,1.1623931623931625,3.657475523681144
shanghai,5,1.2771084337349397,3.5990771308602523
silverstone,10,1.2035928143712575,3.94407885875908
sochi,4,0.7205882352941176,4.234372171920085
spa,9,0.9871794871794872,3.8206821584324917
suzuka,7,0.7398373983739838,3.3063879745948674
vegas,3,1.32,4.5740031060692
villeneuve,7,1.376068376068376,3.821232490397878
yas_marina,8,0.7913669064748201,3.7220288190903967
zandvoort,5,0.8488372093023255,4.0150487435268065
